Experiment,Load_Factor,Algorithm,Drop_Rate,Avg_Latency_us,P99_Latency_us,Retries,Delivered,Buffer_Size,Raw_Latency_us
CDF_Raw,,ECMP,,,,,,,97.44000000000003
CDF_Raw,,ECMP,,,,,,,97.44000000000003
CDF_Raw,,ECMP,,,,,,,97.44000000000003
CDF_Raw,,ECMP,,,,,,,97.44000000000003
CDF_Raw,,ECMP,,,,,,,97.56800000000003
CDF_Raw,,ECMP,,,,,,,97.56800000000003
CDF_Raw,,ECMP,,,,,,,97.56800000000003
CDF_Raw,,ECMP,,,,,,,97.56800000000003
CDF_Raw,,ECMP,,,,,,,97.69600000000003
CDF_Raw,,ECMP,,,,,,,97.69600000000003
CDF_Raw,,ECMP,,,,,,,97.69600000000003
CDF_Raw,,ECMP,,,,,,,97.69600000000003
CDF_Raw,,ECMP,,,,,,,97.82400000000001
CDF_Raw,,ECMP,,,,,,,97.82400000000001
CDF_Raw,,ECMP,,,,,,,97.82400000000001
CDF_Raw,,ECMP,,,,,,,97.82400000000001
CDF_Raw,,ECMP,,,,,,,97.95200000000001
CDF_Raw,,ECMP,,,,,,,97.95200000000001
CDF_Raw,,ECMP,,,,,,,97.95200000000001
CDF_Raw,,ECMP,,,,,,,97.95200000000001
CDF_Raw,,ECMP,,,,,,,98.08000000000001
CDF_Raw,,ECMP,,,,,,,98.08000000000001
CDF_Raw,,ECMP,,,,,,,98.08000000000001
CDF_Raw,,ECMP,,,,,,,98.08000000000001
CDF_Raw,,ECMP,,,,,,,98.11200000000005
CDF_Raw,,ECMP,,,,,,,98.20800000000001
CDF_Raw,,ECMP,,,,,,,98.20800000000001
CDF_Raw,,ECMP,,,,,,,98.20800000000001
CDF_Raw,,ECMP,,,,,,,98.20800000000001
CDF_Raw,,ECMP,,,,,,,98.24000000000005
CDF_Raw,,ECMP,,,,,,,98.336
CDF_Raw,,ECMP,,,,,,,98.336
CDF_Raw,,ECMP,,,,,,,98.336
CDF_Raw,,ECMP,,,,,,,98.336
CDF_Raw,,ECMP,,,,,,,98.36800000000005
